,Group,Player,Time,Order,Round,Date,Role,Round.num,Phase,Condition,First,Message,f,p,v,Before.After,playerA.wordcount,playerB.wordcount,playerA.numutterances,playerB.numutterances,playerA.wordsperutterance,playerB.wordsperutterance,Adjacency_pairs,Gender,Age,Education,ProlificPenn
9318,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,11:02:35,B,Round18,4/3/2019,guesser,18,3,matched,unmatched,yufa,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9319,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,11:03:04,B,Round18,4/3/2019,guesser,18,3,matched,unmatched,sefo,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9320,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,11:03:04,B,Round18,4/3/2019,guesser,18,3,matched,unmatched,yufa,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9321,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,11:03:50,B,Round18,4/3/2019,guesser,18,3,matched,unmatched,"sefo,",1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9322,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,11:03:50,B,Round18,4/3/2019,guesser,18,3,matched,unmatched,nof,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9323,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,11:03:50,B,Round18,4/3/2019,guesser,18,3,matched,unmatched,blufa,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9324,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,11:03:50,B,Round18,4/3/2019,guesser,18,3,matched,unmatched,filu,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9325,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,11:04:19,B,Round18,4/3/2019,guesser,18,3,matched,unmatched,sefo,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9326,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,11:04:45,B,Round18,4/3/2019,guesser,18,3,matched,unmatched,nof,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
9327,"SzVSgv_xIitUqKtxAAAA,8IT32eiUtlsqqUamAAAB",playerB,11:13:30,B,Round20,4/3/2019,guesser,20,3,matched,unmatched,nof,1,0,0,after,316,308,100,81,3.16,3.80246913580247,0.193370165745856,NA,NA,NA,Prolific
